供应商名称,分类,图书名,图书副标题,图书图片路径,ISBN,图书编号,数量,作者,作者简介,内容简介,市场价,本店价,促销价,积分兑换价,精选,园长标识,老师标识,学生标识,适合小班,适合中班,适合大班,问题,答案,选项
二十一世纪出版社,情商培养类,大头鱼的圣诞烦恼    ,麦克米伦世纪,,9787556820849,,5,德博拉·戴森,,圣诞节到了，鱼儿们把海底装扮得特别漂亮，大家都沉浸在欢快的节日气氛中。大头鱼先生却在一旁闷闷不乐，原来他正为圣诞礼物发愁。有点完美主义的大头鱼先生，拿着礼物清单想给朋友们挑选最完美的礼物，但他把所有的商店都逛了一圈，直到商店下班闭店也没买到满意的礼物！心情沮丧的大头鱼先生在闪光鱼小姐的鼓励和帮助下，终于准备出了让每一个朋友都喜欢的礼物，他最终也明白了什么才是最棒最珍贵的礼物！,33,,,,1,,,,1,1,0,大头鱼先生最后送的礼物是买的，还是自己制作的呢？,买的,自己制作的礼物:买的
北京启发世纪图书有限责任公司,科普益智类,大头鱼深海寻宝记 ,麦克米伦世纪,,9787539193465,,5,[美]德博拉· 戴森,,继《撅嘴巴的大头鱼》后，再次推出新作《深海寻宝记》。撅嘴巴的大头鱼先生想要帮助好朋友蛤蜊女士找回珍珠，但这趟深海寻宝的旅程却使他陷入了困境。尽管他游得像旗鱼一样快、身体像鲨鱼一样强壮，但大头鱼先生却藏有秘密——他怕黑！随大头鱼先生一起游历深海，遇见那全新而神秘的世界。或许有了好友的暗中相助，大头鱼先生就会发现：友谊之光将照亮旅程，引领他穿越无边黑暗。,28,,,,0,,,,1,0,0,大头鱼先生和谁一起找到的珍珠呢？,闪光鱼,闪光鱼:鲫鱼:鲤鱼
